"gender"	"Age"	"Attitude"	"Points"	"deep"	"Stra"	"Surf"
"F"	53	37	25	-0.203356889890306	0.375271242737479	-0.393146570549541
"M"	55	31	12	-1.40867869879479	-0.434571179679486	0.704066407389373
"F"	49	25	24	-0.354022116003366	0.699208211704265	-1.02012541508606
"M"	53	35	10	-0.354022116003366	0.051334273770693	-1.02012541508606
"M"	49	37	22	-0.0526916637772453	0.699208211704265	0.0770875628528507
"F"	38	38	21	1.90595627569254	0.699208211704265	-0.706635992817802
"M"	50	35	21	0.248638788448876	-1.08244511761306	-1.64710425962259
"F"	37	29	31	-0.806017794342548	1.18511366515444	0.0770875628528507
"M"	37	38	24	1.15263014512724	1.50905063412123	-1.17687012622019
"F"	42	21	26	0.549969240674997	0.537239727220872	0.390576985121112
"M"	37	39	31	-0.203356889890306	0.699208211704265	-0.236401859415411
"F"	34	38	31	0.248638788448876	2.1569245720548	-0.706635992817802
"F"	34	24	23	1.00196491901418	0.699208211704265	-1.02012541508606
"F"	34	30	25	-0.655352568229488	0.537239727220872	-0.0796571482812799
"M"	35	26	21	0.851299692901118	-1.73031905554663	-0.863380703951933
"F"	33	41	31	-0.0526916637772453	1.02314518067105	-0.863380703951933
"F"	32	26	20	0.700634466788058	-2.21622450899681	0.233832273986981
"F"	44	26	22	-0.354022116003366	0.213302758254086	-0.549891281683672
"M"	29	17	9	0.700634466788058	-0.1106342107127	1.80127938532829
"F"	30	27	24	0.549969240674997	0.861176696187657	-0.0796571482812799
"M"	27	39	28	0.399304014561936	-0.596539664162879	-0.863380703951933
"M"	29	34	30	0.549969240674997	-0.920476633129664	-0.706635992817802
"F"	31	27	24	0.549969240674997	0.699208211704265	0.390576985121112
"F"	37	23	9	-0.0526916637772453	-0.434571179679486	-0.706635992817802
"F"	26	37	26	-0.0526916637772453	-1.73031905554663	0.0770875628528507
"F"	26	44	32	1.3032953712403	0.213302758254086	0.704066407389373
"M"	30	41	32	0.399304014561936	1.18511366515444	0.390576985121112
"F"	33	37	33	0.0979735623358153	0.699208211704265	-1.49035954848846
"F"	33	25	29	-0.806017794342548	-0.272602695196093	1.3310452519259
"M"	28	30	30	-0.203356889890306	-0.1106342107127	1.80127938532829
"M"	26	34	19	2.20728672791866	-1.89228754003002	-0.549891281683672
"F"	27	32	23	-0.203356889890306	0.213302758254086	-1.33361483735432
"F"	25	20	19	-1.40867869879479	0.537239727220872	-0.706635992817802
"F"	31	24	12	-0.0526916637772453	-0.1106342107127	-0.393146570549541
"M"	20	42	10	1.45396059735336	0.213302758254086	-2.27408310415911
"F"	39	16	11	0.700634466788058	-1.56835057106324	0.0770875628528507
"M"	38	31	20	0.248638788448876	1.67101911860462	-1.80384897075672
"M"	24	38	26	-0.806017794342548	0.699208211704265	-0.706635992817802
"M"	26	38	31	-2.46333528158621	-0.758508148646271	0.860811118523504
"M"	25	33	20	-0.655352568229488	-2.3781929934802	1.17430054079177
"F"	30	17	23	0.700634466788058	1.18511366515444	1.17430054079177
"F"	25	25	12	-1.40867869879479	-0.1106342107127	0.704066407389373
"M"	30	32	24	-0.655352568229488	-0.758508148646271	1.3310452519259
"F"	48	35	17	0.248638788448876	2.31889305653819	-0.236401859415411
"F"	24	32	29	-0.0526916637772453	2.48086154102159	-0.706635992817802
"F"	40	42	23	1.75529104957948	1.67101911860462	1.48778996306003
"M"	25	31	28	0.0979735623358153	0.213302758254086	-1.33361483735432
"F"	23	39	31	-0.504687342116427	1.18511366515444	1.80127938532829
"F"	25	19	23	0.851299692901118	0.051334273770693	0.233832273986981
"F"	23	21	25	-1.40867869879479	-0.758508148646271	0.233832273986981
"M"	27	25	18	0.851299692901118	0.051334273770693	-0.706635992817802
"M"	25	32	19	-0.203356889890306	0.213302758254086	0.390576985121112
"M"	23	32	22	-1.55934392490785	-1.24441360209645	1.17430054079177
"F"	23	26	25	0.549969240674997	-0.434571179679486	0.233832273986981
"F"	23	23	21	-1.40867869879479	-0.920476633129664	0.860811118523504
"F"	45	38	9	-1.25801347268173	0.051334273770693	0.860811118523504
"F"	22	28	28	0.700634466788058	1.18511366515444	-0.863380703951933
"F"	23	33	25	-1.40867869879479	1.18511366515444	0.860811118523504
